기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
에스디테크,중소기업,경기 시흥시,"증류기, 열교환기 및 가스발생기 제조업",,,,
에스디테크,중소기업,경기 안산시,사무용 가구 및 기기 도매업,,,,
에스디테크,중소기업,경기 화성시,금속·재료·자재,,,,
가온시스템즈,중소기업,경기 김포시,전기·전자·제어,,,,
엘지건재산업,중소기업,서울 강서구,"도배, 실내장식 및 내장 목공사업",,,,
팀에어월드,중소기업,서울 서대문구,"화물운송 중개, 대리 및 관련 서비스업",,,,
어진,중소기업,서울 송파구,컴퓨터 프로그래밍 서비스업,,,,
어진,중소기업,충남 천안시,기계·기계설비,,,,
어진,중소기업,경기 안양시,기타 화학물질 및 화학제품 도매업,,,,
어진,중소기업,경기 시흥시,1차 금속제품 도매업,,,,
어진,중소기업,서울 강남구,응용 소프트웨어 개발 및 공급업,,,,
어진,중소기업,충남 아산시,농축산·어업·임업,,,,
어진,중소기업,경기 성남시,건물 및 구축물 해체 공사업,,,,
어진,중소기업,서울 서초구,증권·보험·카드,,,,
스탠더스,중소기업,서울 강남구,일반 영화 및 비디오물 제작업,,,,
스탠더스,중소기업,서울 마포구,매니저업,,,,
스탠더스,중소기업,서울 강남구,생활화학·화장품,,,,
스탠더스,중소기업,서울 강남구,광고 영화 및 비디오물 제작업,,,,
스탠더스,중소기업,서울 강남구,연예·엔터테인먼트,,,,
스탠더스,중소기업,서울 강남구,화장품 및 화장용품 도매업,,,,
스탠더스,중소기업,서울 강남구,제품 디자인업,,,,
스탠더스,중소기업,서울 강남구,부동산·중개·임대,,,,
스탠더스,중소기업,서울 강남구,기타 생활용 섬유 및 직물제품 도매업,,,,
스탠더스,중소기업,서울 강남구,커피 전문점,,,,
래빗앤린맘,중소기업,인천 남동구,"직물, 편조원단 및 의복류 염색 가공업",,,,
성림이엔씨,중소기업,서울 영등포구,건설·시공·토목·조경,,,,
성림이엔씨,중소기업,경기 안양시,건물 및 토목 엔지니어링 서비스업,,,,
에스피에프에이,중소기업,광주 북구,배전반 및 전기 자동제어반 제조업,,,,
한국녹색철도태양광발전,중소기업,경기 성남시,태양력 발전업,,,,
씨에스리,대기업,서울 영등포구,컴퓨터시스템 통합 자문 및 구축 서비스업,,,,
씨에스리,중소기업,서울 송파구,생활화학·화장품,,,,
씨에스리,대기업 계열사·자회사,서울 금천구,네트워크·통신서비스,,,,
씨에스리,대기업,서울 강남구,콜센터 및 텔레마케팅 서비스업,,,,
씨에스리,외국계(외국 법인기타),경기 용인시,반도체·디스플레이·광학,,,,
씨에스리,대기업 계열사·자회사,서울 강남구,증권·보험·카드,,,,
씨에스리,중견기업,서울특별시 금천구,"치약, 비누 및 기타 세제 제조업",,,,
씨에스리,중소기업,서울 영등포구,기타 일반 기계 및 장비 수리업,,,,
씨에스리,벤처기업,충북 청주시,솔루션·SI·CRM·ERP,,,,
씨에스리,중소기업,경기 용인시,기계·기계설비,,,,
성일운수,중소기업,인천 중구,일반 화물자동차 운송업,,,,
성일운수,중소기업,부산 금정구,물류·운송·배송,,,,
삼일개발,중소기업,울산 울주군,건물 및 구축물 해체 공사업,"4억 2,500만원",24억 6백만원,이종태,2017.11.02
삼일개발,중소기업,부산 수영구,비주거용 건물 개발 및 공급업,"2,000만원",17억 3천만원,정영민,2015.06.15
삼일개발,중소기업,경기 수원시,주거용 건물 개발 및 공급업,-,"2,349억 2천만원",고충현,2009.09.17
백율엔지니어링,중소기업,대구 동구,건물 및 토목 엔지니어링 서비스업,,,,
백율엔지니어링,중소기업,인천 남동구,건설·시공·토목·조경,,,,
도리도리,중소기업,서울 관악구,음식료·외식·프랜차이즈,,,,
제이에이치글로벌,중소기업,서울 동대문구,백화점·유통·도소매,,,,
제이에이치글로벌,중소기업,광주 북구,전자상거래 소매업,,,,
제이에이치글로벌,중소기업,부산 영도구,"전시, 컨벤션 및 행사 대행업",,,,
제이에이치글로벌,중소기업,서울 서초구,백화점·유통·도소매,,,,
제이에이치글로벌,중소기업,인천 서구,화장품 및 화장용품 도매업,,,,
제이더블유,대기업,서울 서초구,완제 의약품 제조업,,,,
제이더블유,중견기업,서울 금천구,완제 의약품 제조업,,,,
제이더블유,중견기업,충남 당진군,완제 의약품 제조업,,,,
제이더블유,중견기업,경기도 과천시,제약·보건·바이오,,,,
제이더블유,대기업,경기 성남시,제약·보건·바이오,,,,
제이더블유,중견기업,경기 과천시,의료기기 도매업,,,,
제이더블유,중견기업,경기 안성시,접착제 및 젤라틴 제조업,,,,
제이더블유,중견기업,서울 서초구,기타 가공식품 도매업,,,,
제이더블유,중견기업,서울 종로구,호텔·여행·항공,,,,
제이더블유,중소기업,인천 부평구,인물사진 및 행사용 영상 촬영업,,,,
오리진,중소기업,서울 강남구,게임·애니메이션,,,,
오리진,중소기업,서울 서대문구,광고 대행업,,,,
오리진,중소기업,대전 유성구,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",,,,
오리진,중소기업,서울 강남구,시각 디자인업,,,,
오리진,중소기업,서울 강남구,백화점·유통·도소매,,,,
오리진,중소기업,서울 강남구,광고 대행업,,,,
오리진,중소기업,강원 고성군,기타 인문 및 사회과학 연구개발업,,,,
오리진,중소기업,부산 해운대구,무역·상사,,,,
오리진,중소기업,서울 강남구,컴퓨터시스템 통합 자문 및 구축 서비스업,,,,
오리진,중소기업,서울 강남구,그 외 기타 창작 및 예술관련 서비스업,,,,
두오모,중소기업,서울 강남구,무역·상사,,,,
백억전자,중소기업,경기 수원시,그 외 기타 전자부품 제조업,"3억 5,000만원",111억 3천만원,여경두,2017.07.27
성진이엔씨,벤처기업,대전 동구,금속·재료·자재,-,-,안상복,2003.02.07
성진이엔씨,중소기업,경기 화성시,일반전기 공사업,"4억 5,000만원",500억 4천만원,구청수,2010.03.04
성진이엔씨,중소기업,경기 파주시,토공사업,2억원,32억 4천만원,김선홍,2015.02.23
성진이엔씨,중소기업,경기 안성시,건축·설비·환경,2억원,15억,김병선,2012.06.23
성진이엔씨,중소기업,대전 대덕구,건설·시공·토목·조경,-,-,민경헌,-
